date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:46	22438/22438	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2008:32:16%20GMT	http://belaltheme.com/html-preview/Factor/Factor/parallax.html	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/parallax.html	(from )
10:32:46	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jan%202020%2005:02:49%20GMT	http://belaltheme.com/robots.txt		(from )
10:32:47	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2007:51:54%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/bootstrap.min.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/bootstrap.min.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:47	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Oct%202017%2022:49:42%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/font-awesome.min.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/font-awesome.min.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:48	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2003:43:12%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/owl.carousel.min.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/owl.carousel.min.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:48	936/936	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2003:43:12%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/owl.theme.default.min.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/owl.theme.default.min.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:48	2608/2608	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Nov%202017%2004:18:26%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/lightbox.min.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/lightbox.min.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:48	25427/25427	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Dec%202017%2020:14:28%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/animate.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/animate.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:49	19788/19788	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202019%2010:47:26%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/style.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/style.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:32:49	1048/1048	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Nov%202019%2016:20:18%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/css/responsive.css	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/css/responsive.css	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:00	85835/85835	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2021:52:22%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/slider/banner.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/slider/banner.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:04	97318/97318	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2021:57:10%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/about.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/about.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:08	114497/114497	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2022:30:18%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/1.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/1.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:10	126966/126966	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2022:31:48%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/2.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/2.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:11	62550/62550	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2022:32:34%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/4.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/4.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:15	42854/42854	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2022:33:00%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/6.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/6.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:16	32114/32114	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202019%2010:45:06%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/team/2.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/team/2.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:16	37087/37087	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202019%2010:44:56%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/team/1.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/team/1.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:19	30127/30127	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202019%2010:45:14%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/team/3.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/team/3.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:24	44109/44109	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202019%2010:45:22%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/team/4.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/team/4.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:24	125699/125699	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202019%2022:32:46%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/5.jpg	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/images/portfolio/5.jpg	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:30	97163/97163	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Aug%202016%2018:22:44%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/jquery-1.12.4.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/jquery-1.12.4.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:32	37330/37330	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Dec%202016%2022:28:48%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/bootstrap.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/bootstrap.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:33	15514/15514	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Aug%202016%2018:16:54%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/modernizr-2.8.3.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/modernizr-2.8.3.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:34	12597/12597	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2015%20Mar%202015%2005:14:14%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.stellar.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.stellar.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:35	2576/2576	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2025%20Nov%202013%2022:53:06%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.counterup.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.counterup.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:37	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202017%2003:43:12%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/owl.carousel.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/owl.carousel.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:39	53083/53083	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jan%202016%2002:03:30%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.mixitup.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/jquery.mixitup.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:40	9418/9418	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2027%20Nov%202017%2004:18:26%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/lightbox.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/lightbox.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:42	43009/43009	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2025%20Mar%202017%2023:46:22%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/particles.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/particles.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:42	2821/2821	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2025%20Mar%202017%2023:46:22%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/app.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/app.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:43	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2022%20Oct%202017%2021:05:50%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/waypoints.min.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/waypoints.min.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:44	3815/3815	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202016%2012:21:54%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/scrolltopcontrol.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/scrolltopcontrol.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
10:33:44	1547/1547	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jun%202016%2016:49:18%20GMT	http://belaltheme.com/html-preview/Factor/Factor/assets/js/form-contact.js	E:/Radhe/thrd/sec/belaltheme.com/html-preview/Factor/Factor/assets/js/form-contact.js	(from http://belaltheme.com/html-preview/Factor/Factor/parallax.html)
